Configuration,Model,Features,CV_Mean,CV_Std,CV_Min,CV_Max
Naive Bayes + BOW,nb,bow,0.7428571428571429,0.03499271061118824,0.7142857142857143,0.7857142857142857
Logistic + BOW,logistic,bow,0.7428571428571428,0.05714285714285711,0.6428571428571429,0.7857142857142857
Logistic + TF-IDF,logistic,tfidf,0.6857142857142857,0.03499271061118824,0.6428571428571429,0.7142857142857143
SVM + TF-IDF,svm,tfidf,0.6857142857142857,0.03499271061118824,0.6428571428571429,0.7142857142857143
Naive Bayes + TF-IDF,nb,tfidf,0.6428571428571429,0.04517539514526258,0.5714285714285714,0.7142857142857143
Random Forest + TF-IDF,rf,tfidf,0.6285714285714287,0.08329931278350429,0.5714285714285714,0.7857142857142857
